,PC1,PC2,PC3,PC4,PC5,PC6,PC7
group_A__JAMOL02_fullFed_pig_1_mother_54_day_49,-0.08042701698139493,0.09950198394759684,-0.04351851978168188,0.0028326460806841753,0.001625918867357113,-0.005041673365683985,-0.020442799202147116
group_A__JAMOL02_fullFed_pig_10_mother_49_day_49,0.012236853952131766,-0.09957713297468127,-0.05850290753452513,-0.007281511988237661,-0.007887421284926437,0.008730134285451743,0.0017924285489684963
group_A__JAMOL02_fullFed_pig_11_mother_49_day_49,0.2254404880611616,-0.09489955598632992,-0.21757337710645253,0.025237570731657135,0.00522578044524027,-0.002099969053640399,0.001976390571885575
group_A__JAMOL02_fullFed_pig_12_mother_49_day_49,-0.05043917027770066,-0.08864879937929687,0.013894352770068452,-0.022771015947875107,-0.005375564903613424,-0.010331924059668915,-0.0011557943468221196
group_A__JAMOL02_fullFed_pig_13_mother_49_day_49,-0.06345456771692175,-0.03431336238953426,0.026089137635140598,-0.026347746186439192,-0.0044538531666164964,-0.006869846880463366,0.0017241384989093037
group_A__JAMOL02_fullFed_pig_2_mother_54_day_49,-0.03420548506986326,0.0079133955336146,-0.05423974538226388,-0.012413170661248864,0.012467155509132313,-0.005646337839466834,0.004772658719954834
group_A__JAMOL02_fullFed_pig_3_mother_54_day_49,-0.08509572319405738,0.0923203607208755,-0.03027582784891178,-0.007735060928035934,0.018535586283943604,-0.005238651192869005,-0.0033232209576507603
group_A__JAMOL02_fullFed_pig_4_mother_54_day_49,-0.027868232611890954,-0.07859687339079208,-0.016033655621904994,-0.012098301693164958,-0.010443534736277743,0.006776150631705264,-0.002275014880635158
group_A__JAMOL02_fullFed_pig_5_mother_54_day_49,-0.040972319374660345,-0.07966951103046754,0.0009906045038672194,-0.004811974635859456,-0.014370248581545243,0.010590376936847718,-0.011562322599632396
group_A__JAMOL02_fullFed_pig_6_mother_54_day_49,-0.04997689549032429,-0.05614261818881732,-0.004839618678568745,-0.0017383159974854595,-0.002656994145391877,-0.005265493735151039,-0.016378600155293053
group_A__JAMOL02_fullFed_pig_7_mother_54_day_49,-0.0024085160779007595,-0.013557495245078835,0.004360926338708081,-0.007943356422327207,0.005150788477831914,-0.014645617753368019,-0.00754097394234316
group_A__JAMOL02_fullFed_pig_8_mother_49_day_49,-0.04582217937485913,-0.09270982977857108,-0.005104244247839037,-0.01401758159669093,-0.008888560058653391,-0.0019619987175121764,-0.005753734581194201
group_A__JAMOL02_fullFed_pig_9_mother_49_day_49,-0.07634207493206299,0.015531499876358112,0.007453346501939733,-0.019136899975852068,0.006199389444104613,-0.009672496912568903,-0.0015039822337091454
group_B__JAMOL02_dietRestricted_pig_14_mother_51_day_49,-0.08805463395571785,0.0006961529377020842,0.024430615254917465,0.1054065332048364,-0.027337997248001,-0.019369828768107115,0.0018144403771816365
group_B__JAMOL02_dietRestricted_pig_15_mother_51_day_49,0.02561513404011315,-0.03437329464853489,0.04242207228571505,-0.005805954912951327,-0.0018109849306537967,-0.005180288842002587,0.000658843710646343
group_B__JAMOL02_dietRestricted_pig_16_mother_51_day_49,-0.06731521991721526,-0.06670890534376205,0.04246546009437115,0.03684400372443676,0.09628977976767174,0.021492045912774357,0.006907075759759374
group_B__JAMOL02_dietRestricted_pig_17_mother_51_day_49,0.13009612863165299,0.0338088676795389,0.05063111533951916,-0.005381793706911183,0.010549702249642868,-0.02033807323028005,0.0013732297205616374
group_B__JAMOL02_dietRestricted_pig_18_mother_51_day_49,0.020348070438387322,0.011526091998703457,0.04867707242131235,0.03600132988201552,-0.02084580023160617,0.026820410085799266,-0.03375712908552863
group_B__JAMOL02_dietRestricted_pig_19_mother_51_day_49,0.13964262498626145,0.0658132265463328,0.04894264818550227,0.0003265020425858955,-0.0030259321692359714,0.0125862203511474,0.005536068109748276
group_B__JAMOL02_dietRestricted_pig_20_mother_51_day_49,-0.005242950489336521,0.045824415571420946,0.01408248967463175,-0.018079011637381327,-0.003418572463052726,0.005118151072186808,0.0050438751071356655
group_B__JAMOL02_dietRestricted_pig_21_mother_51_day_49,-0.037199366875108136,-0.028972403916662077,0.03154583883690373,0.019955081786617448,-0.01903815517881508,-0.012879759485229632,0.042895306899181786
group_B__JAMOL02_dietRestricted_pig_22_mother_51_day_49,-0.08248816422180687,0.0732850403947933,-0.021975630733232124,0.0019196686103029792,-0.017052965760217344,0.0075758871737848215,0.020963459826774767
group_B__JAMOL02_dietRestricted_pig_23_mother_51_day_49,-0.1084631708612264,0.10862943510687074,-0.11833013737767652,-0.010372828511370474,-0.008281141070950994,0.027187809604882714,0.010300155062313536
group_B__JAMOL02_dietRestricted_pig_25_mother_56_day_49,0.015632537009540978,0.17223034977226126,-0.04994017464783334,0.0004353818499169873,0.015677874048558957,-0.024709453539636286,-0.011616416627846963
group_B__JAMOL02_dietRestricted_pig_26_mother_56_day_49,-0.0453473595105805,-0.04082154057327933,0.019061937474573565,-0.023639832841610975,-0.0017698673347056612,-0.013617844965357251,-0.0003526153837503145
group_B__JAMOL02_dietRestricted_pig_27_mother_56_day_49,0.12715893151442823,0.029708761691796617,0.062491087919229846,0.003930517591524297,-0.00552804422084159,0.00581005398945497,-0.00706169805011918
group_B__JAMOL02_dietRestricted_pig_28_mother_56_day_49,0.16750263093080783,0.08073111404947075,0.04492514426321789,-0.005064506619031774,0.0003789201592399758,0.013497447701854197,0.011950749360506574
group_B__JAMOL02_dietRestricted_pig_30_mother_56_day_49,-0.006207678211427773,-0.01743758169035905,0.04303178589488065,-0.00955867822198866,-0.008351886450607835,0.027926333485079023,0.0036188657887951947
group_B__JAMOL02_dietRestricted_pig_31_mother_56_day_49,0.08899013622307045,-0.024840101226059313,0.04972445517088682,-0.010400729600353585,0.010405955578140983,-0.030601894175842307,-0.002232950809971359
group_B__JAMOL02_dietRestricted_pig_32_mother_56_day_49,0.04466718935649968,0.013748309934890224,0.04511374839550428,-0.008290963419761509,-0.011969326895151554,0.0193601312858796,0.0036295667943205523
